Emotion,File_Path
Disgust,data/Crema/1001_DFA_DIS_XX.wav
Fear,data/Crema/1001_DFA_FEA_XX.wav
Happy,data/Crema/1001_DFA_HAP_XX.wav
Neutral,data/Crema/1001_DFA_NEU_XX.wav
Sad,data/Crema/1001_DFA_SAD_XX.wav
Angry,data/Crema/1001_IEO_ANG_HI.wav
Angry,data/Crema/1001_IEO_ANG_LO.wav
Angry,data/Crema/1001_IEO_ANG_MD.wav
Disgust,data/Crema/1001_IEO_DIS_HI.wav
Disgust,data/Crema/1001_IEO_DIS_LO.wav
Disgust,data/Crema/1001_IEO_DIS_MD.wav
Fear,data/Crema/1001_IEO_FEA_HI.wav
Fear,data/Crema/1001_IEO_FEA_LO.wav
Fear,data/Crema/1001_IEO_FEA_MD.wav
Happy,data/Crema/1001_IEO_HAP_HI.wav
Happy,data/Crema/1001_IEO_HAP_LO.wav
Happy,data/Crema/1001_IEO_HAP_MD.wav
Neutral,data/Crema/1001_IEO_NEU_XX.wav
Sad,data/Crema/1001_IEO_SAD_HI.wav
Sad,data/Crema/1001_IEO_SAD_LO.wav
Sad,data/Crema/1001_IEO_SAD_MD.wav
Angry,data/Crema/1001_IOM_ANG_XX.wav
Disgust,data/Crema/1001_IOM_DIS_XX.wav
Fear,data/Crema/1001_IOM_FEA_XX.wav
Happy,data/Crema/1001_IOM_HAP_XX.wav
Neutral,data/Crema/1001_IOM_NEU_XX.wav
Sad,data/Crema/1001_IOM_SAD_XX.wav
Angry,data/Crema/1001_ITH_ANG_XX.wav
Disgust,data/Crema/1001_ITH_DIS_XX.wav
Fear,data/Crema/1001_ITH_FEA_XX.wav
Happy,data/Crema/1001_ITH_HAP_XX.wav
Neutral,data/Crema/1001_ITH_NEU_XX.wav
Sad,data/Crema/1001_ITH_SAD_XX.wav
Angry,data/Crema/1001_ITS_ANG_XX.wav
Disgust,data/Crema/1001_ITS_DIS_XX.wav
Fear,data/Crema/1001_ITS_FEA_XX.wav
Happy,data/Crema/1001_ITS_HAP_XX.wav
Neutral,data/Crema/1001_ITS_NEU_XX.wav
Sad,data/Crema/1001_ITS_SAD_XX.wav
Angry,data/Crema/1001_IWL_ANG_XX.wav
Disgust,data/Crema/1001_IWL_DIS_XX.wav
Fear,data/Crema/1001_IWL_FEA_XX.wav
Happy,data/Crema/1001_IWL_HAP_XX.wav
Neutral,data/Crema/1001_IWL_NEU_XX.wav
Sad,data/Crema/1001_IWL_SAD_XX.wav
Angry,data/Crema/1001_IWW_ANG_XX.wav
Disgust,data/Crema/1001_IWW_DIS_XX.wav
Fear,data/Crema/1001_IWW_FEA_XX.wav
Happy,data/Crema/1001_IWW_HAP_XX.wav
Neutral,data/Crema/1001_IWW_NEU_XX.wav
Sad,data/Crema/1001_IWW_SAD_XX.wav
Angry,data/Crema/1001_MTI_ANG_XX.wav
Disgust,data/Crema/1001_MTI_DIS_XX.wav
Fear,data/Crema/1001_MTI_FEA_XX.wav
Happy,data/Crema/1001_MTI_HAP_XX.wav
